Date,Energy.Price
05/06/2017,48.24
06/06/2017,45.62
07/06/2017,52.95
08/06/2017,54.91
09/06/2017,50.85
10/06/2017,57.31
11/06/2017,52.67
12/06/2017,47.46
13/06/2017,51.92
14/06/2017,57.47
15/06/2017,58.81
16/06/2017,55.09
17/06/2017,56.52
18/06/2017,57.47
19/06/2017,58.94
20/06/2017,61.17
21/06/2017,63.55
22/06/2017,63.95
23/06/2017,58.39
24/06/2017,60.78
25/06/2017,56.66
26/06/2017,60.86
27/06/2017,61.69
28/06/2017,51.05
29/06/2017,47.62
30/06/2017,49.22
01/07/2017,55.58
02/07/2017,54.78
03/07/2017,53.99
04/07/2017,54.35
05/07/2017,50.05
06/07/2017,56.51
07/07/2017,56.08
08/07/2017,49.61
09/07/2017,54.6
10/07/2017,50.41
11/07/2017,52.1
12/07/2017,55.57
13/07/2017,59.39
14/07/2017,57.78
15/07/2017,51.97
16/07/2017,53.54
17/07/2017,54.07
18/07/2017,56.14
19/07/2017,57.5
20/07/2017,54.47
21/07/2017,52.59
22/07/2017,59.58
23/07/2017,53.33
24/07/2017,56.64
25/07/2017,46.26
26/07/2017,56.1
27/07/2017,62.79
28/07/2017,53.91
29/07/2017,60
30/07/2017,56.06
31/07/2017,53.18
01/08/2017,56.11
02/08/2017,57.48
03/08/2017,58.04
04/08/2017,55.76
05/08/2017,56.83
06/08/2017,48.72
07/08/2017,57.01
08/08/2017,49.82
09/08/2017,54.65
10/08/2017,45.96
11/08/2017,47.07
12/08/2017,53.08
13/08/2017,53.66
14/08/2017,53.82
15/08/2017,52.74
16/08/2017,57.11
17/08/2017,55.18
18/08/2017,55.66
19/08/2017,56.3
20/08/2017,46.64
21/08/2017,53.74
22/08/2017,56.24
23/08/2017,55.25
24/08/2017,55.35
25/08/2017,57.19
26/08/2017,57.64
27/08/2017,55.46
28/08/2017,59.62
29/08/2017,60.16
30/08/2017,58.3
31/08/2017,49.95
01/09/2017,52.72
02/09/2017,45.43
03/09/2017,58.48
04/09/2017,55.7
05/09/2017,56.82
06/09/2017,50.7
07/09/2017,47.99
08/09/2017,55.53
09/09/2017,52.93
10/09/2017,43.94
11/09/2017,58.26
12/09/2017,54.49
13/09/2017,56.67
14/09/2017,51.76
15/09/2017,45.82
16/09/2017,54.68
17/09/2017,56.85
18/09/2017,50.03
19/09/2017,57.62
20/09/2017,59.52
21/09/2017,60.17
22/09/2017,51.43
23/09/2017,57.23
24/09/2017,57.59
25/09/2017,58.33
26/09/2017,54.27
27/09/2017,61.36
28/09/2017,61.94
29/09/2017,60.56
30/09/2017,59.44
01/10/2017,57.12
02/10/2017,56.92
03/10/2017,63.7
04/10/2017,61.37
05/10/2017,65.96
06/10/2017,56.52
07/10/2017,58.04
08/10/2017,64.31
09/10/2017,65.34
10/10/2017,72.65
11/10/2017,71.64
12/10/2017,69.19
13/10/2017,67.39
14/10/2017,69.23
15/10/2017,66.12
16/10/2017,47.59
17/10/2017,56.58
18/10/2017,52.77
19/10/2017,67.41
20/10/2017,54.96
21/10/2017,56.17
22/10/2017,56.46
23/10/2017,60.22
24/10/2017,63.63
25/10/2017,66.79
26/10/2017,55.79
27/10/2017,65.15
28/10/2017,54.31
29/10/2017,53.17
30/10/2017,52.91
31/10/2017,52.71
01/11/2017,56.66
02/11/2017,51.35
03/11/2017,58.68
04/11/2017,65
05/11/2017,51.26
06/11/2017,51.58
07/11/2017,57.58
08/11/2017,59.46
09/11/2017,63.31
10/11/2017,59.96
11/11/2017,66.72
